id	store_code	quantity	availability	price
1036	11072484000919481729	999	in stock	35.89 PLN
1041	11072484000919481729	999	in stock	159.89 PLN
1043	11072484000919481729	999	in stock	109.89 PLN
1045	11072484000919481729	0	out of stock	19.89 PLN
1046	11072484000919481729	0	out of stock	39.89 PLN
1047	11072484000919481729	999	in stock	39.89 PLN
1048	11072484000919481729	999	in stock	1179.89 PLN
1049	11072484000919481729	0	out of stock	479.89 PLN
1052	11072484000919481729	999	in stock	39.89 PLN
1055	11072484000919481729	999	in stock	319.89 PLN
1056	11072484000919481729	999	in stock	119.89 PLN
1058	11072484000919481729	999	in stock	31.89 PLN
1059	11072484000919481729	0	out of stock	79.89 PLN
1060	11072484000919481729	999	in stock	54.89 PLN
1061	11072484000919481729	999	in stock	104.89 PLN
1062	11072484000919481729	0	out of stock	51.89 PLN
1063	11072484000919481729	999	in stock	24.89 PLN
1067	11072484000919481729	0	out of stock	134.89 PLN
1071	11072484000919481729	999	in stock	119.89 PLN
1072	11072484000919481729	999	in stock	119.89 PLN
1075	11072484000919481729	999	in stock	44.89 PLN
1076	11072484000919481729	999	in stock	103.89 PLN
1077	11072484000919481729	999	in stock	65.89 PLN
1078	11072484000919481729	999	in stock	79.89 PLN
1079	11072484000919481729	999	in stock	79.89 PLN
1081	11072484000919481729	999	in stock	1599.89 PLN
1082	11072484000919481729	999	in stock	1499.89 PLN
1083	11072484000919481729	999	in stock	68.89 PLN
1085	11072484000919481729	999	in stock	29.89 PLN
1089	11072484000919481729	999	in stock	28.89 PLN
1093	11072484000919481729	999	in stock	54.89 PLN
1094	11072484000919481729	999	in stock	39.89 PLN
1095	11072484000919481729	999	in stock	49.89 PLN
1096	11072484000919481729	999	in stock	41.89 PLN
1097	11072484000919481729	999	in stock	67.89 PLN
1099	11072484000919481729	999	in stock	29.89 PLN
1100	11072484000919481729	999	in stock	29.89 PLN
1101	11072484000919481729	0	out of stock	74.89 PLN
1104	11072484000919481729	0	out of stock	99.89 PLN
1107	11072484000919481729	999	in stock	84.89 PLN
1108	11072484000919481729	999	in stock	42.89 PLN
1109	11072484000919481729	999	in stock	45.89 PLN
1110	11072484000919481729	999	in stock	309.89 PLN
1111	11072484000919481729	999	in stock	299.89 PLN
1112	11072484000919481729	999	in stock	269.89 PLN
1113	11072484000919481729	999	in stock	299.89 PLN
1114	11072484000919481729	999	in stock	299.89 PLN
1115	11072484000919481729	999	in stock	299.89 PLN
1116	11072484000919481729	999	in stock	299.89 PLN
1117	11072484000919481729	999	in stock	319.89 PLN
1118	11072484000919481729	999	in stock	269.89 PLN
1119	11072484000919481729	999	in stock	299.89 PLN
1120	11072484000919481729	999	in stock	299.89 PLN
1123	11072484000919481729	999	in stock	299.89 PLN
1125	11072484000919481729	999	in stock	299.89 PLN
1126	11072484000919481729	999	in stock	309.89 PLN
1127	11072484000919481729	999	in stock	269.89 PLN
1128	11072484000919481729	999	in stock	309.89 PLN
1129	11072484000919481729	999	in stock	309.89 PLN
1130	11072484000919481729	999	in stock	299.89 PLN
1131	11072484000919481729	999	in stock	309.89 PLN
